name	id
Rodrigo Gonzalez	2141
American Grit	3
Trädgårdstider	618
Ik Hou Van Holland	2542
Project Greenlight	1686
Would I Lie To You?	3141
Candice Renoir - série	2530
Suomen Huippumalli haussa	2596
Kyle XY	340
El Chavo Animado	3612
Unreported World	1200
Good Morning Utah	2110
Jornal da EPTV e Bom Dia Cidade - Ribeirão Preto	1917
The voice of Holland	2493
Gilmore Girls	1694
Smart Face	1097
Sydney Weekender	639
Hablemos de Fútbol – ESPN	1618
Supervivientes	43
Cocina Telefe	1725
WRAL Tar Heel Traveler	767
Days of our Lives	1987
Dateline NBC	1562
Viva La Bam	3880
Jung & Naiv	2056
The Henry Ford's Innovation Nation with Mo Rocca	691
Monk	3670
E=M6	3337
Alisto	467
En la tuya o en la mía	2845
Sama Słodycz TVN	254
The Talk	1530
Young Justice DC	3752
國光幫幫忙之大哥是對的	2535
Suskunlar	1736
Des Racines et Des Ailes	2133
The Wire	3661
Fort Boyard TVA	1268
Tour Group	2556
Hindsight	3848
Jornal da Record - JR	534
Queen of the South	3254
Jeff & Some Aliens	1759
The Gong Show	3477
Búrlivé víno	1386
草地狀元	2403
Más que noticias	1299
Hélène et les garçons	3128
TwoTube	892
Skit Box	3664
Sense8	2241
Chicago P.D.	619
SoCosmo	2427
Rectify	1274
CNNMoney with Maggie Lake	3365
700 Club Canada	2119
Sábados Felices	3239
CinéTFO	1163
UR Lilla Aktuellt teckenspråk	2496
SportsCenter	20
Freeform’s 25 Days of Christmas	896
Puppy Bowl	1360
MTV Catfish UK	1588
The FBI TV Show	3258
The Voice of Germany	528
Epified	3729
New Day NW	2620
Vanguarda Mix	1017
Mel & Sue	466
The Next Step	890
MTV Ex On The Beach	1841
My Generation	2549
The Launch	1128
La Voix	3076
Live At 9:30	3575
Gold Rush	856
Toros Teletica	1006
SBT Jornalismo	3190
Voice of Poland TVP	445
American Masters	2600
Czarno na białym TVN24	1888
Unser Song	96
The Last Leg	3119
Da Vinci's Demons	2849
MADtv	1280
Superlibro	3336
schlachthof	2148
Nurse Jackie	1870
United States of Tara	377
The Voice Kids NL	747
ZDF heute-show	2709
Search Party	801
Tiempos de guerra	3322
Tietjen und Bommes	3356
SMBC Theater	2236
Outcast	1763
Old Home Love	2083
Real Housewives of New Jersey	3530
Karelasyon	1611
60 Days In on A&E	1520
Community	425
Lost & Found Music Studios	615
Slam l'émission (officiel)	2220
Tara Sharma Saluja	405
7 News Mackay	3533
Celebrity Family Feud	291
Seleção Sportv	2096
DER LETZTE BULLE	826
Aída	2618
Binging with Babish	282
Wilfred	782
American Odyssey	3046
All You Need Is Love & Love Is In The Air	2356
Greatest Party Story Ever	2281
The Recruit	2266
Come Dine With Me	644
Weekend Express HLN	2146
Dancing With The Stars. Taniec z Gwiazdami	0
جو شو Joe Show	2712
Hochzeit auf den ersten Blick	538
Wheel of Fortune	2284
Nature | PBS	1820
Azteca Platinum	2562
Open House	1966
La Voz Colombia	1438
odysso - Wissen im SWR	989
Polizeiruf 110	3253
Motus	468
Vocea Romaniei	441
Mali Giganci TVN	796
Bad Ink on A&E	3482
One Life to Live	3716
8-Bit Philosophy	2386
Lucha Azteca 7	2484
rage	480
Bullseye	1086
Baby Boom	2202
Bunsen is a Beast	1234
Lucky 7	2772
Cake Boss	2847
Le SAV d'Omar et Fred	2647
Treehouse Masters	3771
Kobra	3493
Chicago Justice	2541
Los Americans	3191
Gogglebox Australia	3549
Street Outlaws	2255
60 Minutes	1691
Ascension	2242
Rickey Smiley For Real	1697
Yo Soy El Artista	197
The Voice India	2862
Jane By Design	2239
Myrtle Manor Cecil	5
Tria33	152
Los Gipsy Kings	3750
Common Sense	1769
אורלי וגיא	3760
Your Face Sounds Familiar	2544
Hung	1221
Batang Superbook	2606
Molly	2852
CUT la série	3424
Toute la vérité	75
Washington Heights	2371
Queridas Manhãs	3779
Khatron Ke Khiladi	3608
The Island M6	2657
Spårtsklubben	2966
Pas de ça entre nous	1527
MSNBC Your Business	3185
Premier Boxing Champions	3293
The Resident	1498
Ai nostri	2234
Celebrity Name Game	3415
Tangerudbakken	2745
Amar es para siempre	2453
Canal Esport Club	40
WEEDIQUETTE	12
KG Area 21	3241
Deal or No Deal	1326
Der Tatortreiniger	650
RuPaul's Drag Race All Stars	689
Touche Pas à Mon Poste (TPMP)	1518
La Red Caracol	1470
Cuarto Poder	3556
SVT Opinion	808
TripTank	3152
MasterChef Australia	2458
ARTE Philosophie	3019
Premios Juventud	1668
TNT Series	3028
On connaît la chanson	3229
Giacobbo/Müller	800
KTLA 5 Morning News	3178
Ma Pire Angoisse	1901
Klub Konkret	459
Vampire Diaries France	2235
Home and Away UK	2017
Hotel Cæsar	2837
TVBS 一步一腳印 發現新台灣	3035
The Chase Australia	2049
Penny Dreadful	2138
TARATATA OFFICIEL	1587
Que Noche con Angelica y Raul	1847
Sarabanda	1995
Got Talent Global	889
tvN 신서유기	3162
The Spoils Before Dying	1425
The Neighbors	126
Lie Detectors	2023
La Voz Kids Colombia	2786
Circus HalliGalli	1779
Horná Dolná	1654
Zak Bagans  - Ghost Adventures Crew (GAC)	2045
Pastewka - Die Serie	698
코미디빅리그	1871
Spécial Investigation	2298
Bonde söker fru	1900
ITV Channel TV	2441
Cidade Alerta Espírito Santo	2827
Akademi Fantasia	3009
Undisputed On FS1	542
quer	3418
The Listening Post	379
Sur invitation seulement	626
Ainsi soient-ils	2978
SuperStar	1283
El Chiringuito TV	479
Bunheads	668
Casual	3553
SportsNation	1962
Myanmar Idol	1903
Man Seeking Woman	2838
Magpakailanman	664
Esport Club	1487
Posse - MTV	623
Lunkerville	1448
גולסטאר	41
中国新歌声 SING CHINA	533
Psych	3065
Property Brothers	3513
Vikings	3082
The Dudesons	2523
The Librarians	2071
Desafios-Guatevision	3668
All you need is love o no	1330
First Coast News	512
Sisters	1866
Điều ước thứ 7	2857
Informe 11 Las Historias	2297
WDR Lokalzeit aus Aachen	1657
Don't Trust the B in Apt 23	1167
Girlfriends' Guide to Divorce	1298
Sueño de Amor	3679
Das perfekte Dinner	573
One Born Every Minute	61
Días de Cine	2090
ABC 7 Chicago Weather	470
Kevin From Work	1629
TFO 24.7	1858
SVT Kulturnyheterna	33
Allsang på Grensen	3182
Pequeños gigantes	3368
Сніданок з 1+1	572
Schnatterinchen	3220
We Are Men	1975
Emmerdale	503
10 Things I Hate About You	108
Legion	2335
Fique Alerta	68
DANET	2313
Access	2895
Modern Family	3519
Sin Identidad	2704
CSI: NY	130
Coronation Street on CBC	2581
BBC Strictly Come Dancing	790
A to Z	64
The Graham Norton Show BBC America	2652
HarmonQuest	1957
DC Cartoons	3630
Show Me St. Louis	1104
FlashForward	3189
WWE SmackDown Live	52
BBC Watchdog	2733
Los Animales Me Importan - Pancho Cavero	1755
Elefant, Tiger & Co	2310
Venga la Alegría	3700
青春好7淘-iSET	487
Entourage	3270
Gotham	11
Top Gear BBC America	1929
Người Hùng Tí Hon	1818
The Muppets ABC	2320
BBC Antiques Roadshow	88
COPS	3267
Graceland TV	1619
Stromberg	1359
Scoop with Raya	1509
Café CNN	3452
The Dan Patrick Show	1703
Tunnel	2513
Le Divan de Marc-Olivier Fogiel	2465
Every.Simpsons.Ever	1192
CASH Investigation	3259
Hello Goodbye Canada	334
Permanent Roommates	87
Match Factor	167
American Horror Story	935
I Can See Your Voice Thailand	599
WIGS	1379
Middle of the Night Show	547
WDR Lokalzeit aus Duisburg	62
Say Yes To The Dress Canada	3345
Houdini & Doyle	2160
Die grössten Schweizer Talente	1210
NC once	1676
The Royals	954
KGW's Live at 7	3496
Longmire	2939
Storage Wars: Texas on A&E	2886
Austria´s next Topmodel	2529
Encrenca	145
Quarks	3101
N'OUBLIEZ PAS LES PAROLES (OFFICIEL)	2224
Balanço Geral	622
The Young Turks	2172
Sunday Best	3402
האח הגדול	1827
Victorious	2970
7 News Adelaide	836
This Hour Has 22 Minutes	3274
Boom Telefe	2102
SportsCenter ESPN	2192
Amores Verdaderos	3388
LUTHER	515
TVBS 地球黃金線	3537
Crisis	188
The Voice Belgique - RTBF	3105
Fuerza en Movimiento	2014
What The Duck With Vikram Sathaye	3215
Lip Sync Battle Philippines	3092
The Exorcist FOX	2303
Man v. Food Nation	3048
Sport im Osten	3367
800 Words	1246
Alcaline	1391
XTM 더 벙커	837
Vox Pop	1598
How to Live With Your Parents	2139
StarStruck GMA	1495
Angry Boys on HBO	2532
Bet on Your Baby	2998
7 Lá	2515
Fastnacht in Franken	3425
Dragons' Den	1231
Southern Charm	3705
The F Word	2350
Le Club 700	2991
Mais Você	1381
MASTERPIECE | PBS	1824
The Loop	333
Die Spezialisten - Im Namen der Opfer	3268
Che tempo che fa	2070
Ten Eyewitness News Melbourne	1039
melty Future Awards	207
Bom Dia Vanguarda	555
WWE Raw	1000
NHK Close Up Gendai	1677
WECT News	3428
Perception	3097
The Circus: Inside the Biggest Story on Earth	2175
超級紅人榜	2504
Falling Skies	3420
Lifelines - Al Jazeera	1913
Téléroman O'	2801
Tosh.0	727
CSI: Miami	9
Duck Dynasty	885
Spotless	3765
What Not to Wear	80
Report Mainz	3364
Barátok közt	897
The Good Place	1488
Tin Star	1557
MacGyver on CBS	1368
Best Bars In America	3501
Timber Creek Lodge	389
For The People	1447
ТСН Тиждень	960
Le Supplément	3100
Aktuelle Stunde	1940
Piment Fort	355
Na Wspólnej TVN	406
Exathlon Brasil	1968
Wie is de Mol?	3302
Terminator: The Sarah Connor Chronicles	181
All In with Chris Hayes	3351
Redneck Island	1157
1st Look	1750
Judge Judy	1597
Repor TVE	2664
Vis a Vis	144
Pepito Manaloto	3783
Whodunnit?	2799
Sensei Combate - Sportv	3840
Sunnyside on City	2668
Tadhana GMA	2824
Al Marsad	2990
Der Bachelor	3643
M jak miłość	1902
Animal Nation with Anthony Anderson	2599
Men Women Wild	3303
Evening Express	1118
Crazy Hearts: Nashville on A&E	192
NH Chronicle	3604
Happy Endings	2984
Rookie Blue	3164
Reno 911!	2337
Milion w minutę	2125
Dance Moms	3534
Franklin & Bash	2404
Un sur 2	831
Jersey Shore	1198
Vem Vet Mest?	1026
PULS 4 NEWS	822
BET Gospel	1416
laSexta l Noticias	654
The Jerry Springer Show	127
No Ordinary Family	908
Morandé con Compañía	3249
Biyahe ni Drew	1327
Detektor - DR	2771
Desperate Housewives	1920
@midnight	3800
FEUD: Bette and Joan	3641
Heartland Bowhunter	1692
Vida Dura	1474
The Powerpuff Girls	857
Zon Lawak	973
SIÊU BẤT NGỜ	2826
SAT.1 Frühstücksfernsehen	851
BBQ Brasil	253
AFL Footy Show	2249
Poldark	1566
Love, Lust or Run	1389
60 Minute Makeover	1350
Para Todos La 2	1140
Bare Feet with Mickela Mallozzi	200
Solsidan	2689
About a Boy	3676
Les Guignols	1656
Dear Uge	2976
Pure Genius	3199
SoFlo TASTE	1144
Голос.Дети	2598
Superpop	1356
The Kicks	2638
Touche pas à mon sport	2740
The Borgias	3497
NBC Sports Soccer	3606
America's Got Talent	160
El Barco	2364
The View	1184
WDR Lokalzeit aus Dortmund	3011
Miss Costa Rica	433
Новости Первого канала	624
Tweet en clair	1934
Don Matteo	2641
Cityline	2974
Mitt i naturen	1579
Vermisst	2671
T.I. & Tiny: The Family Hustle	1340
C'est au Programme	2001
Lilla Aktuellt	2917
Chozen	588
TVR	17
Landesschau Rheinland-Pfalz	3429
RedeTV Geek	3045
Jorge Ramos y su Banda	4
Inside the Actors Studio	231
Cazamariposas	1830
Cousu Main	60
El Desafío	2809
The Prancing Elites Project	3588
Going Deep with David Rees	56
GRIP - Das Motormagazin	1862
מועדון החנונים העמוד הרישמי	3623
The Voice of Greece	2331
Expeditie Robinson	2451
Mary + Jane	2137
Hard Knocks	3408
Sanford and Son	2686
Have You Been Paying Attention?	1816
Bajo el Mismo Cielo	2452
Imbestigador	376
Rytteriet - DR2	451
The 100	1854
Girl Code	1560
Vild Med Dans	3058
7 Días	943
Weeds	2391
Catfish: The TV Show	2491
Cardinal	3505
El Tiempo de Antena 3	507
WDR Lokalzeit Münsterland	281
Room 104	3795
맛있는 녀석들	1302
Survivor's Remorse	3264
Hood Adjacent	1021
Cold Case	1590
Sunday Footy Show	823
Relaciones Peligrosas	905
New Girl	1673
Maischberger	283
24: Legacy	354
The Voice : la plus belle voix	1670
Divorce	2651
Now With Alex Wagner	1171
American Restoration	2370
Shark Tank	1399
The Singles Project	518
Masters of Illusion	2608
Let's Get Gold	2947
Alex Witt	1603
Constantine	1471
Mein Nachmittag (NDR)	1834
ORF REPORT	3889
Herr Fuchs und Frau Elster	2621
Utopia	2268
América Deportes	3117
Unser Land	2052
Real World	3859
La Voz Kids España	2580
The Player	2362
SPORT1 US	2805
Indonesia's Got Talent	2028
Chrissy & Mr. Jones	3784
CBS Sunday Morning	2597
The Pyramid	1859
The Bible Series	3206
믹스나인 MIXNINE	2065
10,000 BC on 5	2291
Republic Of Doyle	1533
Matkontrollen	2896
Morfi Telefe	3776
Nightwatch	3198
Le Meilleur du Hier	1344
Espírito Santo no Ar	2905
Riverdale	2880
Strike Back	3748
Jeremy Kyle	2810
The Life and Times of Tim	374
Mam Talent TVN	1514
I'M A CELEBRITY... GET ME OUT OF HERE!	2561
Uwaga! po Uwadze	3758
Motive	460
The Social	1412
Neues aus Büttenwarder	3677
Hart of Dixie	1489
ran	2952
La belle et ses princes presque charmants	1974
Un Passo dal Cielo	1884
The Shannara Chronicles	3774
Preciosas	3610
המגזין עם אושרת קוטלר	1906
Signé M	753
Kochie's Business Builders	3681
Filles d'aujourd'hui	1516
POV	2085
Suits	845
Return To Amish	2713
WNEP's Pennsylvania Outdoor Life	1172
La Reina del Sur	1285
Ordinace v růžové zahradě 2	1277
Witness - Al Jazeera	360
México tiene talento	1220
HBO Boxing	246
三立華劇	3645
Fox & Friends	646
Madrugada Vanguarda	617
House	183
When I was 17	1137
Velvet	1109
Ewige Helden	1148
John from Cincinnati	1250
Living Biblically	2972
Law & Order:  Special Victims Unit	1727
Got To Dance Germany	3139
ปริศนาฟ้าแลบ	1312
Romanii au talent	562
Whisker Wars	3730
World News Now	2226
The Doctors	3007
11.22.63	101
Quien es Quien	3770
WDR Lokalzeit OWL	2726
Ten Eyewitness News Perth	3669
Senkveld med Thomas og Harald	3531
Mặt trời bé con - Little Big Shots Vietnam	2218
Abendschau	55
CTV Morning Live - Regina	1266
ABC 20/20	3146
God morgen Norge, TV 2	3286
三立華劇	2711
Guilt	1092
ITV Calendar	1647
Grimm	2157
MasterChef Junior	545
誰來晚餐	1522
Good Day Fox 4	2780
Giros	288
iZombie	3116
Turbo	2347
7 News Toowoomba	964
Getaway	189
Warsaw Shore - Ekipa z Warszawy	2044
Teleráno	3111
Pyjamasques	443
Großstadtrevier	2737
APM?	2346
On n'a pas fait le tour	3494
Saving Hope	840
MTV's Ultimate Parkour Challenge	3188
Premios Tu Mundo	2610
Got Talent Portugal	1831
Mots Croisés	3349
Anastasia and Faye	3278
Wake Up Call	2841
TFOU	2156
Mein Lokal, Dein Lokal	1065
Poppy Cat	27
寶島漁很大	735
People and Power	3262
Martin On MTV2	3079
Suelta la Sopa	3372
Programa do Porchat	150
Punk'd	1294
The Slap	1110
Team Wallraff - Reporter undercover	1240
INAS NACHT	3485
Preachers on Oxygen	37
Nerd Alert	3373
The Trend Live	2501
WNEP's Home & Backyard	3404
TODAY's Take	2573
Agent Carter	3149
WNEP Newswatch 16 AM	3085
Yetenek Sizsiniz Türkiye	1719
Malibu Country	1950
Carnivale	685
Red Bull Signature Series	1486
Major Crimes	1731
STAR	1706
Despedida de Solteros	3183
Scream Queens	1100
Hey Kentucky	2722
Mad Men	807
Glanz & Gloria	427
Off Camera	3521
Heimatflimmern	2518
3sat nano	1347
גאליס	718
Huomenta Suomi	3313
Karl & Max	816
tvN 리틀빅히어로	3039
Murphy Brown	1396
Pierwsza miłość	14
Top Model TVN	3140
Growing Pains	661
The Oath on Crackle	2729
Celebrity Page TV	2463
Insecure	1918
Cámara Abierta 2.0	388
The Mick	1936
Guy Code	3581
Minute to Win It	2753
The Vietnam War PBS	997
Hora 1	222
Mein Bester Feind	1476
NEXT	2851
Todrick	627
Wentworth	193
Caso Cerrado - Telemundo	430
Luck	53
חצויה	858
Dish Nation	429
Die PS PROFIS - Mehr Power aus dem Pott	1869
The Gates	3593
SIMPLEMENTE FUTBOL	580
90210	2360
National Memorial Day Concert (PBS)	2662
Ellen's Game of Games	1457
DC's Legends of Tomorrow	1496
Made	1375
Hot Bench	3383
The X Factor (USA)	137
Hemlock Grove	1848
Dynasty on The CW	2525
C dans l'air	1120
Conexão Repórter	3387
Whose Line Is It Anyway?	2166
SoundOFF Nation	2426
Grande Tarde	2963
La noche de...	2489
Gli Intoccabili La7	1569
Blue Collar Backers	1710
MasterChef Portugal	2508
Domingo Espetacular Record	1141
Investigative Documentaries	3712
Star Trek Continues	1292
Rock the Park	1947
The Rap Game	3766
The Tudors	2198
Dancing Brasil	1768
4 Hochzeiten und eine Traumreise	1979
חדשות הבוקר	163
Schlag den Henssler	706
South Park	2338
Sbandati	871
Kalla fakta	3205
Page Six TV	3634
aspekte	777
The Wall	3348
Amazingness	240
Orange Is the New Black	131
Jimmy Kimmel Live	947
Accès illimité	3468
Fırıldak Ailesi	171
Seven Sharp	3520
The Wright Stuff	948
9 News Perth	1930
Bloqués	757
Off The Bat From The MLB Fan Cave	3384
Rescue Rangers	1898
DOG The Bounty Hunter on A&E	1535
mittagsmagazin	285
La Voz Argentina Telefe	2046
BBC River City	3410
LA QUOTIDIENNE	139
Sunday Night Football on NBC	2856
Duets	1644
The Voice Brasil	375
Más Vale Tarde	2334
RJTV, Bom Dia Rio e G1 Rio	3489
Salvados	1264
Planeta Extremo TV Globo	1762
The Voice - Magyarország hangja	1928
VGHS	1821
Future Man	1682
The Runner go90	3735
Zur Sache Baden-Württemberg	2909
Shaun the Sheep	1886
Tonight With Arnold Clavio	1227
Steven Rinella - MeatEater	2743
NINA - série	2619
Man from Atlantis	2554
Family Feud	1923
America Tonight	3484
Agent X	95
MBC The Voice	1565
PoliticsNation with Al Sharpton	815
Good Sorts	2997
Redação Sportv	543
Beavis and Butt-Head	1616
Die Wollnys - Eine schrecklich große Familie	3332
Sherlock	3440
صباح الخير يا عرب	349
Extrem Schwer	1414
Queer Eye	2289
BBC Newsline	2961
Гласът на България	3768
It Got Better	447
The State	2695
Trophy Wife	2024
เท่ง โหน่ง วิทยาคม	1809
Day[9]	3391
Parodiando	3725
The Moment	591
Saturday Night Takeaway	2522
Elektrischer Reporter	1819
El vuelo de la Victoria	2230
Santa Diabla	3127
We love Lloret	2962
RTL Explosiv	268
The City	2473
Intresseklubben	2975
בובה של לילה	3841
Dr. House France	220
The Walking Dead Norge	1572
The Katering Show	1197
Carrossel	670
The Voice Global	2170
Eurovision Song Contest Deutschland	1428
周末鳥仁秀	3126
Damien on A&E	3088
My Kitchen Rules	3573
Hidden Heroes	2755
MBC News - MBC أخبار	462
Le Grand Soir 3	3043
Brothers and Sisters	3870
Hit The Floor	2439
Friends to Lovers?	2744
Tale e Quale Show	2414
Togetherness	1442
The Crown	3860
Queer as Folk	1291
Ich bin ein Star - Holt mich hier raus!	1832
Occupation Double	15
Faites Danser le Monde	2897
ABC World News Tonight with David Muir	882
Windy City LIVE	764
Le magazine de la santé	3794
Hey Qween	3219
The Strain	2031
Wild Things with Dominic Monaghan	3057
Supernatural	3265
Star Truk	2461
Mom	628
Amor Proibido	1143
Marvel - Luke Cage	3722
7 News Townsville	251
Top Chef	2122
Up Late With Rylan	3207
Dracula	1640
Les vacances de l'amour	2736
AUSSENSEITER SPITZENREITER	3091
EMPIRE: Al Jazeera English	298
Ce soir ou jamais	2914
American Experience | PBS	3066
7 News Sunshine Coast	2533
A.D. The Bible Continues	931
Ang Pinaka	898
Die Kochprofis	3142
HBO Game of Thrones LAT	2211
In aller Freundschaft	3762
Talk Stoop	1641
La Voz Kids	2958
WDR Lokalzeit aus Köln	3688
Billions	1436
Famous	2476
Alta Definição	2415
Piazzapulita - LA7	1650
Qui veut épouser mon fils ?	1790
Schicksale	2815
Rockpalast	3074
Bitchin' Kitchen	1637
Cheer Squad	3187
Ponyhof - Die Show	1411
Deutschland-86	2669
Bendita	2405
Braxton Family Values	3407
Mariah's World	2100
HBO True Blood Brasil	338
7 News Gold Coast	172
CBS Evening News with Jeff Glor	3715
The Good Wife	2366
Joséphine, Ange Gardien	2779
Steve Austin's Broken Skull Challenge	2
Party Over Here	2250
Rachael Ray Show	785
我的寶貝四千金	3002
